dataset	method	metric	avg	min	max
marine	uagc	cluster_secs	122.763	94.96	185.52
marine	uagc	mcc	0.62741	0.623	0.6314
marine	uagc	num_otus	22659.9	22633	22701
marine	udgc	cluster_secs	122.822	94.9	183.78
marine	udgc	mcc	0.64945	0.6456	0.6533
marine	udgc	num_otus	22659.9	22633	22701
marine	vagc_1	cluster_secs	254.83	201.72	377.17
marine	vagc_1	mcc	0.6725	0.6725	0.6725
marine	vagc_1	num_otus	22360	22360	22360
marine	vdgc_1	cluster_secs	254.051	201.74	374.7
marine	vdgc_1	mcc	0.6954	0.6954	0.6954
marine	vdgc_1	num_otus	22360	22360	22360
mice	an	cluster_secs	17179.359	9996.66	30410.35
mice	an	mcc	0.73928	0.7382	0.7401
mice	an	num_otus	1860.3	1856	1867
mice	fn	cluster_secs	474.197	258.95	876.89
mice	fn	mcc	0.34551	0.3375	0.3532
mice	fn	num_otus	4278.3	4260	4294
mice	mcc	cluster_secs	217.772	138.86	312.38
mice	mcc	mcc	0.88981	0.8897	0.8899
mice	mcc	num_otus	2659.2	2652	2667
mice	mcc_agg	cluster_secs	465.607	336	603.6
mice	mcc_agg	mcc	0.78725	0.7871	0.7874
mice	mcc_agg	num_otus	2472.9	2465	2483
mice	nn	cluster_secs	523.245	293.79	981.06
mice	nn	mcc	0.51224	0.4998	0.5291
mice	nn	num_otus	3418.1	3403	3430
mice	otuclust	cluster_secs	136497.216	108671.73	168517.39
mice	otuclust	mcc	0.69526	0.6945	0.6971
mice	otuclust	num_otus	408.4	407	410
mice	sumaclust	cluster_secs	99.09	85	139.19
mice	sumaclust	mcc	0.7301	0.7301	0.7301
mice	sumaclust	num_otus	1927	1927	1927
mice	swarm	cluster_secs	45.165	39.45	60.48
mice	swarm	mcc	0.41226	0.4118	0.4126
mice	swarm	num_otus	10669.4	10665	10672
mice	uagc	cluster_secs	49.962	44.17	60.59
mice	uagc	mcc	0.72596	0.7256	0.7264
mice	uagc	num_otus	2040.1	2022	2054
mice	udgc	cluster_secs	49.629	43.55	61.94
mice	udgc	mcc	0.7402	0.7367	0.7428
mice	udgc	num_otus	2040.1	2022	2054
mice	vagc_1	cluster_secs	118.479	80.52	147.78
mice	vagc_1	mcc	0.729	0.729	0.729
mice	vagc_1	num_otus	1970	1970	1970
mice	vdgc_1	cluster_secs	119.142	80.33	147.66
mice	vdgc_1	mcc	0.745	0.745	0.745
mice	vdgc_1	num_otus	1970	1970	1970
soil	an	cluster_secs	85557.819	57485.84	174208.74
soil	an	mcc	0.54722	0.5461	0.5488
soil	an	num_otus	34976.1	34955	35009
soil	fn	cluster_secs	2913.202	1898.33	5917.18
soil	fn	mcc	0.25534	0.2544	0.2564
soil	fn	num_otus	51242.7	51191	51279
soil	mcc	cluster_secs	551.156	422.15	813.48
soil	mcc	mcc	0.733	0.7325	0.7335
soil	mcc	num_otus	40240.5	40209	40272
soil	mcc_agg	cluster_secs	1864.415	1265.25	2426.93
soil	mcc_agg	mcc	0.72464	0.7237	0.7249
soil	mcc_agg	num_otus	39463.9	39424	39562
soil	nn	cluster_secs	3095.961	1914.34	6529.99
soil	nn	mcc	0.43831	0.4301	0.4481
soil	nn	num_otus	45655.4	45607	45706
soil	otuclust	cluster_secs	99634.771	77235.21	150483.04
soil	otuclust	mcc	0.48186	0.4778	0.4869
soil	otuclust	num_otus	6504.8	6499	6513
soil	sumaclust	cluster_secs	243.018	157.66	417.63
soil	sumaclust	mcc	0.5563	0.5563	0.5563
soil	sumaclust	num_otus	33878	33878	33878
soil	swarm	cluster_secs	246.191	142.4	369.64
soil	swarm	mcc	0.17378	0.1737	0.1739
soil	swarm	num_otus	104319.8	104314	104326
soil	uagc	cluster_secs	277.509	199.64	377.13
soil	uagc	mcc	0.52438	0.5217	0.5263
soil	uagc	num_otus	34691	34628	34744
soil	udgc	cluster_secs	276.704	200.94	375.43
soil	udgc	mcc	0.54044	0.5386	0.543
soil	udgc	num_otus	34691	34628	34744
soil	vagc_1	cluster_secs	577.914	416.55	998.85
soil	vagc_1	mcc	0.5603	0.5603	0.5603
soil	vagc_1	num_otus	34066	34066	34066
soil	vdgc_1	cluster_secs	598.308	417.46	1110.64
soil	vdgc_1	mcc	0.576	0.576	0.576
soil	vdgc_1	num_otus	34066	34066	34066
staggered	an	cluster_secs	31.21	26.74	40.19
staggered	an	mcc	0.78706	0.7847	0.7894
staggered	an	num_otus	7703.1	7700	7707
staggered	fn	cluster_secs	1.129	0.98	1.54
staggered	fn	mcc	0.65236	0.6389	0.6592
staggered	fn	num_otus	8096.5	8091	8101
staggered	mcc	cluster_secs	0.32	0.18	0.5
staggered	mcc	mcc	0.81837	0.818	0.8186
staggered	mcc	num_otus	7654.7	7653	7656
staggered	mcc_agg	cluster_secs	0.741	0.65	0.81
staggered	mcc_agg	mcc	0.81676	0.8131	0.8177
staggered	mcc_agg	num_otus	7652	7649	7653
staggered	nn	cluster_secs	1.096	0.97	1.33
staggered	nn	mcc	0.7276	0.7207	0.7333
staggered	nn	num_otus	7894.7	7892	7899
staggered	otuclust	cluster_secs	54360.809	42254.1	81004.51
staggered	otuclust	mcc	0.59032	0.5807	0.607
staggered	otuclust	num_otus	6536.8	6532	6540
staggered	sumaclust	cluster_secs	31.051	27.16	35.74
staggered	sumaclust	mcc	0.7178	0.7178	0.7178
staggered	sumaclust	num_otus	7587	7587	7587
staggered	swarm	cluster_secs	6.017	5.45	6.93
staggered	swarm	mcc	0.14	0.14	0.14
staggered	swarm	num_otus	11188	11188	11188
staggered	uagc	cluster_secs	21.984	19.05	27.7
staggered	uagc	mcc	0.71012	0.7073	0.7123
staggered	uagc	num_otus	7689.7	7687	7693
staggered	udgc	cluster_secs	21.91	19.04	26.91
staggered	udgc	mcc	0.69549	0.6929	0.6973
staggered	udgc	num_otus	7689.7	7687	7693
staggered	vagc_1	cluster_secs	31.563	28.04	38.67
staggered	vagc_1	mcc	0.7173	0.7173	0.7173
staggered	vagc_1	num_otus	7650	7650	7650
staggered	vdgc_1	cluster_secs	31.377	28.02	37.6
staggered	vdgc_1	mcc	0.7005	0.7005	0.7005
staggered	vdgc_1	num_otus	7650	7650	7650
