dataset	method	metric	avg	min	max
even	mcc_close	cluster_secs	0.342	0	0.5
even	mcc_close	mcc	0.8179665	0.817014	0.818741
even	mcc_close	num_otus	7657.9	7652	7659
human	mcc_close	cluster_secs	601.96	531.17	829.08
human	mcc_close	mcc	0.8785286	0.875413	0.878961
human	mcc_close	num_otus	11661.9	11632	11686
marine	mcc_close	cluster_secs	387.909	290.84	496.25
marine	mcc_close	mcc	0.8272317	0.818834	0.831778
marine	mcc_close	num_otus	25781.5	25735	25822
mice	mcc_close	cluster_secs	105.472	80.86	142.38
mice	mcc_close	mcc	0.8897956	0.889718	0.88985
mice	mcc_close	num_otus	2662.1	2651	2682
soil	mcc_close	cluster_secs	253.656	205.92	323.48
soil	mcc_close	mcc	0.7329743	0.732395	0.733449
soil	mcc_close	num_otus	40242	40212	40277
staggered	mcc_close	cluster_secs	0.299	0	0.5
staggered	mcc_close	mcc	0.8183427	0.817953	0.818624
staggered	mcc_close	num_otus	7655.9	7653	7658
even	an	cluster_secs	39.144	26.48	69.44
even	an	mcc	0.78379	0.7825	0.7853
even	an	num_otus	7709.1	7705	7712
even	fn	cluster_secs	1.179	0.96	1.79
even	fn	mcc	0.64752	0.6322	0.6617
even	fn	num_otus	8096.2	8090	8100
even	mcc	cluster_secs	0.371	0.24	0.5
even	mcc	mcc	0.81802	0.8171	0.8188
even	mcc	num_otus	7658.1	7652	7660
even	mcc_agg	cluster_secs	0.76	0.55	0.96
even	mcc_agg	mcc	0.81448	0.8124	0.8176
even	mcc_agg	num_otus	7647.6	7639	7654
even	nn	cluster_secs	1.156	0.97	1.5
even	nn	mcc	0.72866	0.7232	0.7363
even	nn	num_otus	7891.7	7887	7896
even	otuclust	cluster_secs	76376.598	53359.33	121565.77
even	otuclust	mcc	0.60065	0.5922	0.608
even	otuclust	num_otus	6606	6593	6625
even	sumaclust	cluster_secs	36.101	29.11	51.55
even	sumaclust	mcc	0.6474	0.6474	0.6474
even	sumaclust	num_otus	7658	7658	7658
even	swarm	cluster_secs	3.655	3.16	4.86
even	swarm	mcc	0.1507	0.1507	0.1507
even	swarm	num_otus	11165	11165	11165
even	uagc	cluster_secs	23.865	18.91	36.53
even	uagc	mcc	0.60964	0.5839	0.655
even	uagc	num_otus	7671.8	7653	7690
even	udgc	cluster_secs	24	19.13	37.23
even	udgc	mcc	0.68468	0.6475	0.7112
even	udgc	num_otus	7671.8	7653	7690
even	vagc_1	cluster_secs	33.391	27.52	51.6
even	vagc_1	mcc	0.6679	0.6679	0.6679
even	vagc_1	num_otus	7698	7698	7698
even	vdgc_1	cluster_secs	33.869	27.38	50.64
even	vdgc_1	mcc	0.6679	0.6679	0.6679
even	vdgc_1	num_otus	7698	7698	7698
human	an	cluster_secs	NA	NA	NA
human	an	mcc	NA	NA	NA
human	an	num_otus	NA	NA	NA
human	fn	cluster_secs	5521.198	3807.46	6709.56
human	fn	mcc	0.29424	0.2883	0.304
human	fn	num_otus	17819.4	17789	17852
human	mcc	cluster_secs	1701.06	1322.55	2134.08
human	mcc	mcc	0.87857	0.8755	0.879
human	mcc	num_otus	11646.5	11620	11686
human	mcc_agg	cluster_secs	3676.397	3150.74	5141.98
human	mcc_agg	mcc	0.87561	0.8747	0.8789
human	mcc_agg	num_otus	11683.2	11629	11703
human	nn	cluster_secs	5477.052	3842.36	6842.99
human	nn	mcc	0.50965	0.4876	0.5315
human	nn	num_otus	14172.3	14117	14227
human	otuclust	cluster_secs	NA	NA	NA
human	otuclust	mcc	NA	NA	NA
human	otuclust	num_otus	NA	NA	NA
human	sumaclust	cluster_secs	NA	NA	NA
human	sumaclust	mcc	NA	NA	NA
human	sumaclust	num_otus	NA	NA	NA
human	swarm	cluster_secs	195.9	143.52	294.74
human	swarm	mcc	0.36151	0.3614	0.3616
human	swarm	num_otus	51057.2	51055	51063
human	uagc	cluster_secs	NA	NA	NA
human	uagc	mcc	NA	NA	NA
human	uagc	num_otus	NA	NA	NA
human	udgc	cluster_secs	NA	NA	NA
human	udgc	mcc	NA	NA	NA
human	udgc	num_otus	NA	NA	NA
human	vagc_1	cluster_secs	444.146	307.52	546.04
human	vagc_1	mcc	0.7237	0.7237	0.7237
human	vagc_1	num_otus	8633	8633	8633
human	vdgc_1	cluster_secs	443.1	307.74	542.24
human	vdgc_1	mcc	0.7585	0.7585	0.7585
human	vdgc_1	num_otus	8633	8633	8633
marine	an	cluster_secs	19215.802	11527.07	41841.14
marine	an	mcc	0.64764	0.6457	0.6493
marine	an	num_otus	22485.1	22470	22501
marine	fn	cluster_secs	1041.179	691.9	1959.62
marine	fn	mcc	0.25894	0.2501	0.2659
marine	fn	num_otus	30841.4	30814	30889
marine	mcc	cluster_secs	1235.709	934.31	1678.25
marine	mcc	mcc	0.82724	0.8188	0.8318
marine	mcc	num_otus	25775.9	25737	25824
marine	mcc_agg	cluster_secs	1608.733	1218.27	2131.84
marine	mcc_agg	mcc	0.82232	0.8221	0.8224
marine	mcc_agg	num_otus	25771.6	25755	25783
marine	nn	cluster_secs	978.781	641.7	1916.93
marine	nn	mcc	0.61443	0.5883	0.6361
marine	nn	num_otus	27994.1	27969	28011
marine	otuclust	cluster_secs	59806.565	40706.6	93757.88
marine	otuclust	mcc	0.59654	0.596	0.5974
marine	otuclust	num_otus	5323.6	5316	5331
marine	sumaclust	cluster_secs	97.455	71.41	140.63
marine	sumaclust	mcc	0.6703	0.6703	0.6703
marine	sumaclust	num_otus	22199	22199	22199
marine	swarm	cluster_secs	119.399	96.75	154.81
marine	swarm	mcc	0.12558	0.1255	0.1256
marine	swarm	num_otus	65426.7	65426	65428
